"Importance_fw","Rank_fw","Variable","Importance_mid","Rank_mid","Importance_df","Rank_df","Importance_tot","Rank_tot","Rank_Avg","Rank_Max","Rank_Min"
4.19216300882202,33,"Mn_per_MP_Playing.Time",5.54307600473458,27,3.62053357157291,31,10.367171948867,28,29.75,33,27
4.01071287679573,34,"TI_Pass",4.25225528800428,45,2.03881485742344,74,7.34900234710694,48,50.25,74,34
3.92396905435627,35,"npxG_per_Sh_Expected",4.32215388836485,43,3.70898932036094,29,9.49220163075254,32,34.75,43,29
3.90614416770462,36,"plus_per__minus__Team.Success",6.10209311432988,22,4.92380606362842,23,11.5147283161263,24,26.25,36,22
3.89782098225902,37,"player_position",3.02063826577117,70,0.936876388207062,130,6.70850330812327,63,75,130,37
3.80224861378482,38,"np.G_minus_xG_Expected",4.58538085177141,40,2.81006821243767,36,8.90438288377849,37,37.75,40,36
3.65280260301211,39,"Comp_from_to",7.09334897396256,17,5.87720394692553,12,12.7170307024768,19,21.75,39,12
3.58622042110285,40,"SoT_per_90_Standard",5.11058748706669,32,2.60857423615402,41,7.87701668812636,45,39.5,45,32
3.5235628742212,41,"Def.Pen_Touches",4.92712804348495,35,1.66291732922066,91,6.83251435511729,60,56.75,91,35
3.48636483986613,42,"Ast_Per",4.94061419013976,34,1.53784338873246,101,6.45910172464663,71,62,101,34
3.48171674481639,43,"Won_Aerial",3.83946615146682,53,2.30667792283165,60,8.31880015595941,40,49,60,40
3.37107438952832,44,"Fld",4.5165874465597,41,3.64410278861635,30,9.32190290575857,35,37.5,44,30
3.32325268853042,45,"Gls_Per",2.02539058888691,122,0.777504170530767,144,4.61737663676568,112,105.75,144,45
3.25206099893079,46,"G.A_minus_PK_Per",4.27088280140559,44,1.45851268100946,103,6.93632593906447,57,62.5,103,44
3.21765248594689,47,"Lost_Aerial",3.57511993488339,56,2.58710091758798,43,8.24175658122793,41,46.75,56,41
3.17547565042905,48,"Def.3rd_Touches",2.8081296432065,83,1.60863695756374,94,6.41990335560917,73,74.5,94,48
3.17486313752995,49,"onxGA_Team.Success..xG",4.62208478684065,39,1.89964434063217,83,8.14653251292039,43,53.5,83,39
3.09642114343716,50,"Clr",4.91787428561911,36,2.22380025366937,66,7.34805469956346,49,50.25,66,36
3.07444352769549,51,"xG.xAG_Per",3.56360988494652,57,2.43814635944224,51,6.54780417774188,68,56.75,68,51
3.06458671336477,52,"G.A_Per",4.36132263659435,42,1.63402197231269,92,7.20102969534948,50,59,92,42
3.02873757139337,53,"npxG.xAG_Per",3.03138157979499,69,1.90788136046098,80,6.6241963427564,65,66.75,80,53
2.92205722764984,54,"PrgDist_Carries",3.36668613325114,61,2.37639767974365,55,8.17994454703567,42,53,61,42
2.8371173486955,55,"npxG.xAG_Expected",2.36696890724481,103,1.9979859210881,76,6.86427577843215,59,73.25,103,55
2.6760915341149,56,"Dis_Carries",3.81140329046496,54,1.6018074042178,95,6.61660309841873,66,67.75,95,54
2.6716632515146,57,"PrgDist_Total",3.50845234516446,58,1.57449893058947,99,6.19621126021253,75,72.25,99,57
2.65894052738178,58,"G_minus_PK_Per",1.55420720946658,145,0.616641553136207,150,3.90616249873771,139,123,150,58
2.64912150538973,59,"xG_Per",2.15715186694218,118,1.08940098576748,121,5.24840131584694,98,99,121,59
2.62695105889427,60,"Fld_SCA",2.92103599996206,79,0.848110048827512,136,4.44819469620434,120,98.75,136,60
2.5933889068231,61,"CPA_Carries",2.79261899893546,84,1.35809108497692,105,5.57992561388658,94,86,105,61
2.56166883266877,62,"Mis_Carries",3.01037532752944,72,2.49096868600758,48,7.88411923696984,44,56.5,72,44
2.5349719957302,63,"Att.Pen_Touches",2.6182771795551,90,4.40360116159411,24,8.75956631821486,38,53.75,90,24
2.52448554439717,64,"Off",2.4210556058875,101,1.1256143712427,120,4.27961337398061,125,102.5,125,64
2.52315122365937,65,"Att_Challenges",2.54022712283858,93,2.13577109950283,71,6.69768974365239,64,73.25,93,64
2.49969191740207,66,"Int",4.12005644507119,48,2.47941154691465,49,7.68238129466688,46,52.25,66,46
2.49796778169714,67,"Att_Long",3.9293126038096,50,2.52466517756818,47,7.12394341362403,52,54,67,47
2.48179730857237,68,"Att_Take",3.21271979919511,64,2.3049174421404,61,6.94451376028126,56,62.25,68,56
2.43637961187709,69,"CrdY",2.98998627493343,74,2.24327443817219,64,5.66007263009876,90,74.25,90,64
2.4098682532986,70,"G_per_SoT_Standard",2.37401800359873,102,1.30287930630109,106,4.50229308063336,117,98.75,117,70
2.40410876484899,71,"Blocks_Blocks",2.75090283163516,85,2.65869251211537,40,6.88145689376293,58,63.5,85,40
2.30844796426251,72,"TotDist_Carries",2.56604791210419,92,2.07074922945663,73,7.05517498578383,54,72.75,92,54
2.29006768347603,73,"PrgR_Receiving",2.26639018474511,111,2.4298609732533,52,5.93277248923359,81,79.25,111,52
2.22837344289148,74,"PPA",4.97319214806743,33,1.8296201802172,85,5.47729792311464,97,72.25,97,33
2.22342000997653,75,"G_per_Sh_Standard",2.02339720313956,123,1.04468362480743,123,4.17942142073172,131,113,131,75
2.2231919004744,76,"TB_Pass",3.0080296105453,73,0.835214624305738,140,4.032283468783,134,105.75,140,73
2.21326338405892,77,"onGA_Team.Success",2.15760316448696,117,1.71886789793359,89,5.61874634501153,92,93.75,117,77
2.20546787467826,78,"npxG_Per",2.32604193796877,105,1.58064954132498,98,4.85771493345038,107,97,107,78
2.1954632476621,79,"TO_SCA",1.69885855669773,141,1.03978170778974,125,4.1205368772313,133,119.5,141,79
2.17908256329051,80,"Mid.3rd_Tackles",3.01869836699132,71,3.74715590713892,28,5.97553568802189,80,64.75,80,28
2.17563900901046,81,"Pass_Blocks",2.67580794795339,89,2.30303859946353,63,6.5876416482441,67,75,89,63
2.10222864461078,82,"Att.3rd_Tackles",2.46589746793495,98,1.59684369499106,96,5.12848203423034,101,94.25,101,82
2.09112672799921,83,"PassLive_SCA",2.02048547856391,124,1.1853750295143,116,5.75068146922578,86,102.25,124,83
