"Importance_fw","Rank_fw","Variable","Importance_mid","Rank_mid","Importance_df","Rank_df","Importance_tot","Rank_tot","Rank_Avg","Rank_Max","Rank_Min"
148933491377061,160,"TotDist_Total",588413968182515,62,232632608076591,58,851808558118290,87,91.75,160,58
145133369651176,161,"PKatt",50708458536495,177,873387410344.424,177,249181602716465,167,170.5,177,161
143146654215757,162,"Out_Corner",177249389879617,156,45433141720869.1,159,266249843304414,166,160.75,166,156
135450525660523,163,"Mins_Per_90_Playing",125549005924645,168,57544087494599.2,149,300267268722805,164,161,168,149
123134890737558,164,"PK",129133576084162,166,1031890735979.04,176,231901864708171,170,169,176,164
120572219157145,165,"CrdR",91440960362768.1,169,17716501658199,171,149854986114856,175,170,175,165
104269652301508,166,"Def_SCA",152263271688619,163,66264225895034.5,139,409842529569702,153,155.25,166,139
99654905432751.4,167,"Err",83047278151753.1,170,818057350772851,6,1007555704977216,68,102.75,170,6
90985507541394.6,168,"Fld_GCA",188160278482583,154,37881228897992.3,164,246236331739800,168,163.5,168,154
83403852691515.8,169,"Mins_Per_90",201209203738029,152,53980338605659.6,152,282444831055125,165,159.5,169,152
83099146187910.6,170,"PKatt_Standard",70322825350034.6,173,157802296934.692,178,220023734419323,172,173.25,178,170
81635019985484,171,"Starts_Starts",166118572741576,158,44456820153005.1,160,396169209014518,154,160.75,171,154
78133775311079.8,172,"Mins_Per_90_Playing.Time",145625206848734,164,53872232973726.7,154,350818504942158,161,162.75,172,154
76597780811016.2,173,"Starts_Playing",203622251698844,151,46996902549609.5,158,348692072684724,163,161.25,173,151
75780180008855.2,174,"PKcon",80902092952120,171,20510643767407.9,170,175816948308170,173,172,174,170
74698508717685,175,"OG",19475814647734.9,179,52319698942811.9,156,101377179667001,177,171.75,179,156
71600780378115.1,176,"PassDead_SCA",182208692944029,155,66170063127090.9,140,229439904418865,171,160.5,176,140
67986399698437.9,177,"PK_Standard",71042713138407.9,172,126539142771.633,179,244036148214225,169,174.25,179,169
34982110243145.8,178,"PassDead_GCA",53608879972970.2,174,42718169559026.8,162,94018381993068.8,178,173,178,162
30762954818894.2,179,"X2CrdY",45056284105397.8,178,7526395020784.65,173,65169763446756.6,179,177.25,179,173
